업태별,시도명,시군구명,성별,(전체)당월①,(전체)전월②,증감율(①/②),(전체)전년동월③,증감율(①/③),(개인)당월①,(개인)전월②,증감율(①/②),(개인)전년동월③,증감율(①/③),(법인)당월①,(법인)전월②,증감율(①/②),(법인)전년동월③,증감율(①/③)
소매업,대구광역시,수성구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,대구광역시,달서구,남자,"3,819","3,793",100.69%,"3,672",104.00%,"3,588","3,558",100.84%,"3,444",104.18%,231,235,98.30%,228,101.32%
소매업,대구광역시,달서구,여자,"4,943","4,911",100.65%,"4,949",99.88%,"4,900","4,869",100.64%,"4,895",100.10%,43,42,102.38%,54,79.63%
소매업,대구광역시,달성군,남자,"1,597","1,583",100.88%,"1,512",105.62%,"1,494","1,480",100.95%,"1,416",105.51%,103,103,100.00%,96,107.29%
소매업,대구광역시,달성군,여자,"1,872","1,838",101.85%,"1,688",110.90%,"1,852","1,818",101.87%,"1,670",110.90%,20,20,100.00%,18,111.11%
소매업,경상북도,포항시 남구,남자,"1,730","1,724",100.35%,"1,710",101.17%,"1,610","1,607",100.19%,"1,592",101.13%,120,117,102.56%,118,101.69%
소매업,경상북도,포항시 남구,여자,"2,297","2,278",100.83%,"2,288",100.39%,"2,279","2,260",100.84%,"2,267",100.53%,18,18,100.00%,21,85.71%
소매업,경상북도,포항시 남구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
소매업,경상북도,포항시 북구,남자,"2,272","2,273",99.96%,"2,356",96.43%,"2,156","2,159",99.86%,"2,252",95.74%,116,114,101.75%,104,111.54%
소매업,경상북도,포항시 북구,여자,"3,273","3,292",99.42%,"3,325",98.44%,"3,252","3,271",99.42%,"3,302",98.49%,21,21,100.00%,23,91.30%
소매업,경상북도,포항시 북구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,경주시,남자,"2,300","2,275",101.10%,"2,280",100.88%,"2,160","2,139",100.98%,"2,144",100.75%,140,136,102.94%,136,102.94%
소매업,경상북도,경주시,여자,"2,838","2,812",100.92%,"2,802",101.28%,"2,797","2,771",100.94%,"2,770",100.97%,41,41,100.00%,32,128.13%
소매업,경상북도,경주시,미상,*,*,100.00%,*,200.00%,*,*,100.00%,0,/0,*,*,100.00%,*,100.00%
소매업,경상북도,김천시,남자,"1,343","1,334",100.67%,"1,283",104.68%,"1,281","1,272",100.71%,"1,228",104.32%,62,62,100.00%,55,112.73%
소매업,경상북도,김천시,여자,"1,255","1,257",99.84%,"1,207",103.98%,"1,240","1,242",99.84%,"1,193",103.94%,15,15,100.00%,14,107.14%
소매업,경상북도,김천시,미상,*,*,100.00%,*,50.00%,*,*,100.00%,*,50.00%,,,,,
소매업,경상북도,안동시,남자,"1,610","1,622",99.26%,"1,590",101.26%,"1,504","1,515",99.27%,"1,489",101.01%,106,107,99.07%,101,104.95%
소매업,경상북도,안동시,여자,"1,698","1,702",99.76%,"1,701",99.82%,"1,679","1,686",99.58%,"1,687",99.53%,19,16,118.75%,14,135.71%
소매업,경상북도,안동시,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
소매업,경상북도,구미시,남자,"3,158","3,145",100.41%,"3,200",98.69%,"2,884","2,872",100.42%,"2,944",97.96%,274,273,100.37%,256,107.03%
소매업,경상북도,구미시,여자,"3,984","4,004",99.50%,"3,979",100.13%,"3,943","3,964",99.47%,"3,933",100.25%,41,40,102.50%,46,89.13%
소매업,경상북도,구미시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,영주시,남자,"1,425","1,412",100.92%,"1,387",102.74%,"1,358","1,347",100.82%,"1,326",102.41%,67,65,103.08%,61,109.84%
소매업,경상북도,영주시,여자,"1,483","1,490",99.53%,"1,449",102.35%,"1,471","1,478",99.53%,"1,442",102.01%,12,12,100.00%,7,171.43%
소매업,경상북도,영주시,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
소매업,경상북도,영천시,남자,981,967,101.45%,963,101.87%,929,915,101.53%,911,101.98%,52,52,100.00%,52,100.00%
소매업,경상북도,영천시,여자,842,842,100.00%,861,97.79%,833,833,100.00%,853,97.66%,9,9,100.00%,8,112.50%
소매업,경상북도,상주시,남자,"1,134","1,135",99.91%,"1,142",99.30%,"1,051","1,052",99.90%,"1,060",99.15%,83,83,100.00%,82,101.22%
소매업,경상북도,상주시,여자,937,948,98.84%,959,97.71%,924,933,99.04%,944,97.88%,13,15,86.67%,15,86.67%
소매업,경상북도,상주시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,문경시,남자,942,949,99.26%,955,98.64%,903,911,99.12%,916,98.58%,39,38,102.63%,39,100.00%
소매업,경상북도,문경시,여자,913,907,100.66%,894,102.13%,897,893,100.45%,881,101.82%,16,14,114.29%,13,123.08%
소매업,경상북도,문경시,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
소매업,경상북도,경산시,남자,"2,212","2,220",99.64%,"2,180",101.47%,"2,090","2,097",99.67%,"2,061",101.41%,122,123,99.19%,119,102.52%
소매업,경상북도,경산시,여자,"2,404","2,422",99.26%,"2,364",101.69%,"2,379","2,397",99.25%,"2,338",101.75%,25,25,100.00%,26,96.15%
소매업,경상북도,군위군,남자,182,185,98.38%,178,102.25%,169,172,98.26%,167,101.20%,13,13,100.00%,11,118.18%
소매업,경상북도,군위군,여자,140,140,100.00%,138,101.45%,139,139,100.00%,137,101.46%,*,*,100.00%,*,100.00%
소매업,경상북도,의성군,남자,598,595,100.50%,595,100.50%,577,574,100.52%,572,100.87%,21,21,100.00%,23,91.30%
소매업,경상북도,의성군,여자,441,450,98.00%,457,96.50%,437,446,97.98%,454,96.26%,4,4,100.00%,3,133.33%
소매업,경상북도,청송군,남자,434,436,99.54%,452,96.02%,404,406,99.51%,423,95.51%,30,30,100.00%,29,103.45%
소매업,경상북도,청송군,여자,290,295,98.31%,319,90.91%,286,291,98.28%,315,90.79%,4,4,100.00%,4,100.00%
소매업,경상북도,영양군,남자,203,208,97.60%,207,98.07%,190,195,97.44%,195,97.44%,13,13,100.00%,12,108.33%
소매업,경상북도,영양군,여자,152,148,102.70%,151,100.66%,152,148,102.70%,151,100.66%,,,,,
소매업,경상북도,영양군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,영덕군,남자,510,509,100.20%,512,99.61%,484,483,100.21%,485,99.79%,26,26,100.00%,27,96.30%
소매업,경상북도,영덕군,여자,584,588,99.32%,584,100.00%,581,585,99.32%,581,100.00%,3,3,100.00%,3,100.00%
소매업,경상북도,영덕군,미상,*,*,100.00%,0,/0,*,*,100.00%,0,/0,,,,,
소매업,경상북도,청도군,남자,419,410,102.20%,413,101.45%,397,388,102.32%,390,101.79%,22,22,100.00%,23,95.65%
소매업,경상북도,청도군,여자,379,384,98.70%,368,102.99%,377,382,98.69%,366,103.01%,*,*,100.00%,*,100.00%
소매업,경상북도,청도군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,고령군,남자,320,312,102.56%,318,100.63%,306,298,102.68%,306,100.00%,14,14,100.00%,12,116.67%
소매업,경상북도,고령군,여자,258,258,100.00%,254,101.57%,255,255,100.00%,251,101.59%,3,3,100.00%,3,100.00%
소매업,경상북도,고령군,미상,*,*,100.00%,0,/0,*,*,100.00%,0,/0,,,,,
소매업,경상북도,성주군,남자,456,459,99.35%,452,100.88%,439,442,99.32%,428,102.57%,17,17,100.00%,24,70.83%
소매업,경상북도,성주군,여자,336,331,101.51%,316,106.33%,336,331,101.51%,315,106.67%,0,0,/0,*,0.00%
소매업,경상북도,칠곡군,남자,"1,125","1,116",100.81%,"1,125",100.00%,"1,047","1,039",100.77%,"1,042",100.48%,78,77,101.30%,83,93.98%
소매업,경상북도,칠곡군,여자,"1,037","1,040",99.71%,"1,039",99.81%,"1,025","1,028",99.71%,"1,029",99.61%,12,12,100.00%,10,120.00%
소매업,경상북도,예천군,남자,528,529,99.81%,535,98.69%,495,496,99.80%,505,98.02%,33,33,100.00%,30,110.00%
소매업,경상북도,예천군,여자,415,412,100.73%,387,107.24%,409,406,100.74%,381,107.35%,6,6,100.00%,6,100.00%
소매업,경상북도,예천군,미상,0,0,/0,*,0.00%,0,0,/0,*,0.00%,,,,,
소매업,경상북도,봉화군,남자,422,425,99.29%,424,99.53%,391,394,99.24%,398,98.24%,31,31,100.00%,26,119.23%
소매업,경상북도,봉화군,여자,242,245,98.78%,250,96.80%,237,240,98.75%,244,97.13%,5,5,100.00%,6,83.33%
소매업,경상북도,봉화군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상북도,울진군,남자,569,569,100.00%,560,101.61%,540,541,99.82%,531,101.69%,29,28,103.57%,29,100.00%
소매업,경상북도,울진군,여자,669,663,100.90%,664,100.75%,663,657,100.91%,659,100.61%,6,6,100.00%,5,120.00%
소매업,경상북도,울릉군,남자,123,127,96.85%,135,91.11%,116,120,96.67%,129,89.92%,7,7,100.00%,6,116.67%
소매업,경상북도,울릉군,여자,166,168,98.81%,161,103.11%,165,167,98.80%,160,103.13%,*,*,100.00%,*,100.00%
소매업,부산광역시,중구,남자,"1,656","1,655",100.06%,"1,709",96.90%,"1,555","1,555",100.00%,"1,613",96.40%,101,100,101.00%,96,105.21%
소매업,부산광역시,중구,여자,"2,198","2,207",99.59%,"2,256",97.43%,"2,184","2,193",99.59%,"2,244",97.33%,14,14,100.00%,12,116.67%
소매업,부산광역시,서구,남자,816,811,100.62%,813,100.37%,777,772,100.65%,770,100.91%,39,39,100.00%,43,90.70%
소매업,부산광역시,서구,여자,"1,013","1,010",100.30%,"1,058",95.75%,"1,004","1,001",100.30%,"1,048",95.80%,9,9,100.00%,10,90.00%
소매업,부산광역시,동구,남자,"1,381","1,385",99.71%,"1,402",98.50%,"1,297","1,300",99.77%,"1,317",98.48%,84,85,98.82%,85,98.82%
소매업,부산광역시,동구,여자,"2,042","2,053",99.46%,"2,084",97.98%,"2,028","2,039",99.46%,"2,070",97.97%,14,14,100.00%,14,100.00%
소매업,부산광역시,동구,미상,0,0,/0,*,0.00%,0,0,/0,*,0.00%,,,,,
소매업,부산광역시,영도구,남자,734,739,99.32%,713,102.95%,698,704,99.15%,680,102.65%,36,35,102.86%,33,109.09%
소매업,부산광역시,영도구,여자,885,897,98.66%,894,98.99%,877,889,98.65%,884,99.21%,8,8,100.00%,10,80.00%
소매업,부산광역시,영도구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,부산광역시,부산진구,남자,"3,580","3,559",100.59%,"3,561",100.53%,"3,352","3,331",100.63%,"3,333",100.57%,228,228,100.00%,228,100.00%
소매업,부산광역시,부산진구,여자,"4,934","4,933",100.02%,"4,816",102.45%,"4,883","4,881",100.04%,"4,755",102.69%,51,52,98.08%,61,83.61%
소매업,부산광역시,부산진구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
소매업,부산광역시,동래구,남자,"1,996","1,979",100.86%,"1,969",101.37%,"1,859","1,842",100.92%,"1,836",101.25%,137,137,100.00%,133,103.01%
소매업,부산광역시,동래구,여자,"2,556","2,560",99.84%,"2,558",99.92%,"2,537","2,541",99.84%,"2,536",100.04%,19,19,100.00%,22,86.36%
소매업,부산광역시,남구,남자,"1,847","1,841",100.33%,"1,737",106.33%,"1,724","1,719",100.29%,"1,626",106.03%,123,122,100.82%,111,110.81%
소매업,부산광역시,남구,여자,"2,466","2,447",100.78%,"2,255",109.36%,"2,442","2,423",100.78%,"2,239",109.07%,24,24,100.00%,16,150.00%
소매업,부산광역시,남구,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
소매업,부산광역시,북구,남자,"1,503","1,488",101.01%,"1,519",98.95%,"1,399","1,383",101.16%,"1,414",98.94%,104,105,99.05%,105,99.05%
소매업,부산광역시,북구,여자,"2,139","2,138",100.05%,"2,161",98.98%,"2,121","2,120",100.05%,"2,148",98.74%,18,18,100.00%,13,138.46%
소매업,부산광역시,북구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
소매업,부산광역시,해운대구,남자,"2,724","2,716",100.29%,"2,716",100.29%,"2,422","2,416",100.25%,"2,442",99.18%,302,300,100.67%,274,110.22%
소매업,부산광역시,해운대구,여자,"3,689","3,666",100.63%,"3,638",101.40%,"3,640","3,616",100.66%,"3,582",101.62%,49,50,98.00%,56,87.50%
소매업,부산광역시,해운대구,미상,0,0,/0,*,0.00%,0,0,/0,*,0.00%,,,,,
소매업,부산광역시,사하구,남자,"1,851","1,832",101.04%,"1,791",103.35%,"1,750","1,733",100.98%,"1,694",103.31%,101,99,102.02%,97,104.12%
소매업,부산광역시,사하구,여자,"2,568","2,564",100.16%,"2,504",102.56%,"2,543","2,536",100.28%,"2,485",102.33%,25,28,89.29%,19,131.58%
소매업,부산광역시,금정구,남자,"1,854","1,847",100.38%,"1,855",99.95%,"1,711","1,702",100.53%,"1,722",99.36%,143,145,98.62%,133,107.52%
소매업,부산광역시,금정구,여자,"2,134","2,138",99.81%,"2,135",99.95%,"2,103","2,110",99.67%,"2,109",99.72%,31,28,110.71%,26,119.23%
소매업,부산광역시,금정구,미상,0,0,/0,*,0.00%,0,0,/0,*,0.00%,,,,,
소매업,부산광역시,강서구,남자,947,936,101.18%,886,106.88%,826,815,101.35%,764,108.12%,121,121,100.00%,122,99.18%
소매업,부산광역시,강서구,여자,"1,046","1,033",101.26%,932,112.23%,"1,022","1,008",101.39%,915,111.69%,24,25,96.00%,17,141.18%
소매업,부산광역시,강서구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,부산광역시,연제구,남자,"1,437","1,429",100.56%,"1,398",102.79%,"1,316","1,308",100.61%,"1,290",102.02%,121,121,100.00%,108,112.04%
소매업,부산광역시,연제구,여자,"1,872","1,866",100.32%,"1,808",103.54%,"1,846","1,843",100.16%,"1,788",103.24%,26,23,113.04%,20,130.00%
소매업,부산광역시,수영구,남자,"1,516","1,496",101.34%,"1,532",98.96%,"1,439","1,420",101.34%,"1,461",98.49%,77,76,101.32%,71,108.45%
소매업,부산광역시,수영구,여자,"2,260","2,239",100.94%,"2,182",103.57%,"2,243","2,222",100.95%,"2,162",103.75%,17,17,100.00%,20,85.00%
소매업,부산광역시,수영구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,부산광역시,사상구,남자,"1,789","1,783",100.34%,"1,826",97.97%,"1,637","1,632",100.31%,"1,682",97.32%,152,151,100.66%,144,105.56%
소매업,부산광역시,사상구,여자,"2,521","2,526",99.80%,"2,544",99.10%,"2,493","2,497",99.84%,"2,514",99.16%,28,29,96.55%,30,93.33%
소매업,부산광역시,사상구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,부산광역시,기장군,남자,"1,190","1,182",100.68%,"1,121",106.16%,"1,018","1,009",100.89%,951,107.05%,172,173,99.42%,170,101.18%
소매업,부산광역시,기장군,여자,"1,474","1,473",100.07%,"1,433",102.86%,"1,451","1,449",100.14%,"1,408",103.05%,23,24,95.83%,25,92.00%
소매업,부산광역시,기장군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
소매업,울산광역시,중구,남자,"1,635","1,619",100.99%,"1,640",99.70%,"1,548","1,535",100.85%,"1,547",100.06%,87,84,103.57%,93,93.55%
소매업,울산광역시,중구,여자,"2,345","2,344",100.04%,"2,309",101.56%,"2,327","2,326",100.04%,"2,296",101.35%,18,18,100.00%,13,138.46%
소매업,울산광역시,남구,남자,"2,509","2,482",101.09%,"2,547",98.51%,"2,254","2,228",101.17%,"2,294",98.26%,255,254,100.39%,253,100.79%
소매업,울산광역시,남구,여자,"3,687","3,671",100.44%,"3,702",99.59%,"3,648","3,633",100.41%,"3,664",99.56%,39,38,102.63%,38,102.63%
소매업,울산광역시,동구,남자,917,915,100.22%,895,102.46%,835,836,99.88%,818,102.08%,82,79,103.80%,77,106.49%
소매업,울산광역시,동구,여자,"1,391","1,397",99.57%,"1,431",97.20%,"1,383","1,388",99.64%,"1,424",97.12%,8,9,88.89%,7,114.29%
소매업,울산광역시,북구,남자,956,956,100.00%,904,105.75%,822,819,100.37%,771,106.61%,134,137,97.81%,133,100.75%
소매업,울산광역시,북구,여자,"1,465","1,475",99.32%,"1,384",105.85%,"1,452","1,463",99.25%,"1,370",105.99%,13,12,108.33%,14,92.86%
소매업,울산광역시,울주군,남자,"1,350","1,338",100.90%,"1,308",103.21%,"1,231","1,224",100.57%,"1,189",103.53%,119,114,104.39%,119,100.00%
소매업,울산광역시,울주군,여자,"1,683","1,682",100.06%,"1,680",100.18%,"1,651","1,650",100.06%,"1,656",99.70%,32,32,100.00%,24,133.33%
소매업,울산광역시,울주군,미상,*,*,100.00%,*,200.00%,*,*,100.00%,*,200.00%,,,,,
소매업,경상남도,창원시 의창구,남자,"1,984","1,964",101.02%,"1,915",103.60%,"1,842","1,822",101.10%,"1,778",103.60%,142,142,100.00%,137,103.65%
소매업,경상남도,창원시 의창구,여자,"2,607","2,598",100.35%,"2,576",101.20%,"2,586","2,578",100.31%,"2,556",101.17%,21,20,105.00%,20,105.00%
소매업,경상남도,창원시 의창구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
소매업,경상남도,창원시 성산구,남자,"1,313","1,304",100.69%,"1,291",101.70%,"1,177","1,172",100.43%,"1,171",100.51%,136,132,103.03%,120,113.33%
소매업,경상남도,창원시 성산구,여자,"2,329","2,318",100.47%,"2,247",103.65%,"2,311","2,303",100.35%,"2,232",103.54%,18,15,120.00%,15,120.00%
소매업,경상남도,창원시 마산합포구,남자,"1,613","1,607",100.37%,"1,621",99.51%,"1,499","1,495",100.27%,"1,520",98.62%,114,112,101.79%,101,112.87%
소매업,경상남도,창원시 마산합포구,여자,"2,079","2,089",99.52%,"2,096",99.19%,"2,064","2,075",99.47%,"2,076",99.42%,15,14,107.14%,20,75.00%
소매업,경상남도,창원시 마산합포구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상남도,창원시 마산회원구,남자,"1,433","1,441",99.44%,"1,472",97.35%,"1,335","1,342",99.48%,"1,370",97.45%,98,99,98.99%,102,96.08%
소매업,경상남도,창원시 마산회원구,여자,"2,090","2,095",99.76%,"2,105",99.29%,"2,072","2,078",99.71%,"2,084",99.42%,18,17,105.88%,21,85.71%
소매업,경상남도,창원시 마산회원구,미상,*,*,100.00%,*,50.00%,*,*,100.00%,*,100.00%,0,0,/0,*,0.00%
소매업,경상남도,창원시 진해구,남자,"1,115","1,108",100.63%,"1,068",104.40%,"1,041","1,035",100.58%,999,104.20%,74,73,101.37%,69,107.25%
소매업,경상남도,창원시 진해구,여자,"1,736","1,741",99.71%,"1,697",102.30%,"1,723","1,728",99.71%,"1,685",102.26%,13,13,100.00%,12,108.33%
소매업,경상남도,진주시,남자,"2,931","2,905",100.90%,"2,937",99.80%,"2,729","2,709",100.74%,"2,735",99.78%,202,196,103.06%,202,100.00%
소매업,경상남도,진주시,여자,"3,835","3,815",100.52%,"3,780",101.46%,"3,809","3,791",100.47%,"3,757",101.38%,26,24,108.33%,23,113.04%
소매업,경상남도,진주시,미상,21,21,100.00%,21,100.00%,21,21,100.00%,21,100.00%,,,,,
소매업,경상남도,통영시,남자,"1,352","1,341",100.82%,"1,334",101.35%,"1,280","1,269",100.87%,"1,261",101.51%,72,72,100.00%,73,98.63%
소매업,경상남도,통영시,여자,"1,679","1,694",99.11%,"1,669",100.60%,"1,673","1,688",99.11%,"1,664",100.54%,6,6,100.00%,5,120.00%
소매업,경상남도,통영시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상남도,사천시,남자,"1,135","1,141",99.47%,"1,127",100.71%,"1,080","1,088",99.26%,"1,077",100.28%,55,53,103.77%,50,110.00%
소매업,경상남도,사천시,여자,"1,400","1,408",99.43%,"1,404",99.72%,"1,389","1,398",99.36%,"1,394",99.64%,11,10,110.00%,10,110.00%
소매업,경상남도,사천시,미상,11,11,100.00%,10,110.00%,11,11,100.00%,10,110.00%,,,,,
소매업,경상남도,김해시,남자,"3,832","3,798",100.90%,"3,744",102.35%,"3,465","3,433",100.93%,"3,397",102.00%,367,365,100.55%,347,105.76%
소매업,경상남도,김해시,여자,"5,001","4,956",100.91%,"4,925",101.54%,"4,942","4,899",100.88%,"4,870",101.48%,59,57,103.51%,55,107.27%
소매업,경상남도,김해시,미상,3,3,100.00%,4,75.00%,*,*,100.00%,3,66.67%,*,*,100.00%,*,100.00%
소매업,경상남도,밀양시,남자,"1,022","1,021",100.10%,"1,011",101.09%,975,974,100.10%,960,101.56%,47,47,100.00%,51,92.16%
소매업,경상남도,밀양시,여자,958,963,99.48%,953,100.52%,954,959,99.48%,949,100.53%,4,4,100.00%,4,100.00%
소매업,경상남도,거제시,남자,"1,622","1,607",100.93%,"1,608",100.87%,"1,509","1,494",101.00%,"1,505",100.27%,113,113,100.00%,103,109.71%
소매업,경상남도,거제시,여자,"2,405","2,408",99.88%,"2,377",101.18%,"2,386","2,391",99.79%,"2,362",101.02%,19,17,111.76%,15,126.67%
소매업,경상남도,양산시,남자,"2,217","2,178",101.79%,"2,058",107.73%,"2,021","1,981",102.02%,"1,887",107.10%,196,197,99.49%,171,114.62%
소매업,경상남도,양산시,여자,"2,958","2,935",100.78%,"2,816",105.04%,"2,922","2,899",100.79%,"2,790",104.73%,36,36,100.00%,26,138.46%
소매업,경상남도,양산시,미상,4,4,100.00%,5,80.00%,4,4,100.00%,5,80.00%,,,,,
소매업,경상남도,의령군,남자,170,170,100.00%,175,97.14%,160,160,100.00%,163,98.16%,10,10,100.00%,12,83.33%
소매업,경상남도,의령군,여자,181,180,100.56%,174,104.02%,180,179,100.56%,173,104.05%,*,*,100.00%,*,100.00%
소매업,경상남도,함안군,남자,505,500,101.00%,481,104.99%,470,465,101.08%,451,104.21%,35,35,100.00%,30,116.67%
소매업,경상남도,함안군,여자,498,499,99.80%,502,99.20%,487,488,99.80%,491,99.19%,11,11,100.00%,11,100.00%
소매업,경상남도,함안군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상남도,창녕군,남자,529,521,101.54%,530,99.81%,483,475,101.68%,484,99.79%,46,46,100.00%,46,100.00%
소매업,경상남도,창녕군,여자,533,531,100.38%,528,100.95%,526,524,100.38%,522,100.77%,7,7,100.00%,6,116.67%
소매업,경상남도,창녕군,미상,4,4,100.00%,3,133.33%,4,4,100.00%,3,133.33%,,,,,
소매업,경상남도,고성군,남자,456,453,100.66%,450,101.33%,439,436,100.69%,433,101.39%,17,17,100.00%,17,100.00%
소매업,경상남도,고성군,여자,522,524,99.62%,492,106.10%,519,521,99.62%,491,105.70%,3,3,100.00%,*,300.00%
소매업,경상남도,남해군,남자,459,446,102.91%,450,102.00%,442,429,103.03%,434,101.84%,17,17,100.00%,16,106.25%
소매업,경상남도,남해군,여자,461,458,100.66%,468,98.50%,457,454,100.66%,466,98.07%,4,4,100.00%,*,200.00%
소매업,경상남도,남해군,미상,6,5,120.00%,4,150.00%,6,5,120.00%,4,150.00%,,,,,
소매업,경상남도,하동군,남자,519,511,101.57%,525,98.86%,498,491,101.43%,506,98.42%,21,20,105.00%,19,110.53%
소매업,경상남도,하동군,여자,597,586,101.88%,602,99.17%,592,581,101.89%,598,99.00%,5,5,100.00%,4,125.00%
소매업,경상남도,하동군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상남도,산청군,남자,446,449,99.33%,450,99.11%,422,425,99.29%,425,99.29%,24,24,100.00%,25,96.00%
소매업,경상남도,산청군,여자,361,363,99.45%,361,100.00%,357,360,99.17%,359,99.44%,4,3,133.33%,*,200.00%
소매업,경상남도,산청군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
소매업,경상남도,함양군,남자,422,421,100.24%,433,97.46%,385,383,100.52%,400,96.25%,37,38,97.37%,33,112.12%
소매업,경상남도,함양군,여자,413,415,99.52%,417,99.04%,409,411,99.51%,411,99.51%,4,4,100.00%,6,66.67%
소매업,경상남도,거창군,남자,622,624,99.68%,620,100.32%,585,587,99.66%,583,100.34%,37,37,100.00%,37,100.00%
소매업,경상남도,거창군,여자,652,647,100.77%,659,98.94%,646,642,100.62%,655,98.63%,6,5,120.00%,4,150.00%
소매업,경상남도,합천군,남자,390,387,100.78%,392,99.49%,374,371,100.81%,380,98.42%,16,16,100.00%,12,133.33%
소매업,경상남도,합천군,여자,329,324,101.54%,333,98.80%,327,323,101.24%,330,99.09%,*,*,200.00%,3,66.67%
소매업,제주특별자치도,제주시,남자,"4,549","4,530",100.42%,"4,363",104.26%,"4,154","4,137",100.41%,"3,998",103.90%,395,393,100.51%,365,108.22%
소매업,제주특별자치도,제주시,여자,"6,037","6,005",100.53%,"5,834",103.48%,"5,894","5,863",100.53%,"5,699",103.42%,143,142,100.70%,135,105.93%
소매업,제주특별자치도,제주시,미상,*,*,100.00%,3,66.67%,*,*,100.00%,3,66.67%,,,,,
소매업,제주특별자치도,서귀포시,남자,"2,183","2,168",100.69%,"2,125",102.73%,"1,988","1,978",100.51%,"1,945",102.21%,195,190,102.63%,180,108.33%
소매업,제주특별자치도,서귀포시,여자,"2,388","2,382",100.25%,"2,242",106.51%,"2,350","2,343",100.30%,"2,208",106.43%,38,39,97.44%,34,111.76%
소매업,제주특별자치도,서귀포시,미상,4,4,100.00%,5,80.00%,3,3,100.00%,4,75.00%,*,*,100.00%,*,100.00%
부동산매매업,서울특별시,종로구,남자,159,156,101.92%,128,124.22%,39,38,102.63%,29,134.48%,120,118,101.69%,99,121.21%
부동산매매업,서울특별시,종로구,여자,48,47,102.13%,44,109.09%,25,25,100.00%,20,125.00%,23,22,104.55%,24,95.83%
부동산매매업,서울특별시,종로구,미상,4,4,100.00%,3,133.33%,,,,,,4,4,100.00%,3,133.33%
부동산매매업,서울특별시,중구,남자,212,210,100.95%,188,112.77%,28,29,96.55%,23,121.74%,184,181,101.66%,165,111.52%
부동산매매업,서울특별시,중구,여자,50,51,98.04%,43,116.28%,16,17,94.12%,16,100.00%,34,34,100.00%,27,125.93%
부동산매매업,서울특별시,중구,미상,6,6,100.00%,4,150.00%,*,*,100.00%,*,100.00%,5,5,100.00%,3,166.67%
부동산매매업,서울특별시,용산구,남자,164,163,100.61%,145,113.10%,70,71,98.59%,60,116.67%,94,92,102.17%,85,110.59%
부동산매매업,서울특별시,용산구,여자,68,67,101.49%,71,95.77%,39,38,102.63%,43,90.70%,29,29,100.00%,28,103.57%
부동산매매업,서울특별시,용산구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
부동산매매업,서울특별시,성동구,남자,146,142,102.82%,133,109.77%,45,41,109.76%,33,136.36%,101,101,100.00%,100,101.00%
부동산매매업,서울특별시,성동구,여자,43,41,104.88%,33,130.30%,24,22,109.09%,17,141.18%,19,19,100.00%,16,118.75%
부동산매매업,서울특별시,광진구,남자,143,143,100.00%,125,114.40%,50,51,98.04%,44,113.64%,93,92,101.09%,81,114.81%
부동산매매업,서울특별시,광진구,여자,60,59,101.69%,50,120.00%,32,30,106.67%,24,133.33%,28,29,96.55%,26,107.69%
